CreditScore,FirstPaymentDate,MaturityDate,MSA,MIP,Units,Occupancy,OCLTV,DTI,OrigUPB,LTV,OrigInterestRate,Channel,PropertyState,PropertyType,PostalCode,LoanPurpose,OrigLoanTerm,ServicerName,MonthsDelinquent,MonthsInRepayment,EverDelinquent,FirstTimeHomebuyer_N,FirstTimeHomebuyer_Y,PPM_N,PPM_X,PPM_Y,ProductType_FRM  ,NumBorrowers_1,NumBorrowers_2
497.93122586872585,199903,202902,16974,25.0,1,1,90,17.0,50000,90.0,7.0,3,15,0,60400,2,360,18,0.0,63.0,0.0,True,False,True,False,False,True,True,False
497.93122586872585,199903,202902,16974,30.0,1,1,95,45.0,109000,95.0,6.875,3,15,5,60600,2,360,11,0.0,38.0,0.0,True,False,True,False,False,True,True,False
497.93122586872585,199903,202902,17900,30.0,1,1,95,18.0,100000,95.0,6.625,2,42,5,29000,2,360,1,0.0,46.0,0.0,True,False,True,False,False,True,True,False
497.93122586872585,199903,202902,19124,0.0,1,1,75,26.0,191000,75.0,6.875,3,45,0,75200,2,360,5,0.0,24.0,0.0,True,False,True,False,False,True,False,True
497.93122586872585,199903,202902,19124,0.0,1,1,80,20.0,204000,80.0,6.75,3,45,5,75200,2,360,5,0.0,28.0,0.0,True,False,True,False,False,True,True,False
497.93122586872585,199903,202902,19124,30.0,1,1,95,40.0,117000,95.0,6.75,3,45,5,75200,2,360,6,1.0,91.0,1.0,True,False,False,False,True,True,True,False
497.93122586872585,199903,202902,20500,0.0,1,1,80,35.0,222000,80.0,6.625,2,28,4,27500,2,360,15,0.0,54.0,0.0,True,False,True,False,False,True,True,False
497.93122586872585,199903,202902,20500,25.0,1,1,90,29.0,189000,90.0,6.625,2,28,5,27500,2,360,1,2.0,50.0,1.0,True,False,True,False,False,True,True,False
497.93122586872585,199903,202902,20764,0.0,1,0,85,46.0,57000,85.0,7.625,2,32,5,7700,2,360,13,0.0,24.0,0.0,True,False,False,True,False,True,True,False
497.93122586872585,199903,202902,20764,0.0,1,1,80,24.0,202000,80.0,6.875,2,32,5,7700,2,360,14,0.0,22.0,0.0,True,False,True,False,False,True,False,True
497.93122586872585,199903,202902,20764,30.0,1,1,95,21.0,137000,95.0,7.25,2,32,0,7700,2,360,13,0.0,28.0,0.0,True,False,True,False,False,True,True,False
497.93122586872585,199903,202902,21340,30.0,1,1,95,18.0,56000,95.0,7.5,3,45,5,79900,2,360,6,0.0,211.0,0.0,True,False,True,False,False,True,True,False
497.93122586872585,199903,202902,22380,0.0,1,2,80,29.0,140000,80.0,6.625,3,3,5,86000,2,360,14,1.0,212.0,1.0,True,False,False,False,True,True,True,False
497.93122586872585,199903,202902,22744,0.0,1,1,75,39.0,18000,75.0,7.125,2,9,0,33300,2,360,12,4.0,199.0,1.0,True,False,True,False,False,True,True,False
497.93122586872585,199903,202902,22744,30.0,1,1,95,35.0,109000,95.0,7.875,2,9,5,33000,2,360,13,2.0,39.0,1.0,True,False,True,False,False,True,False,True
497.93122586872585,199903,202902,23060,30.0,1,1,95,33.0,76000,95.0,7.0,2,16,4,46800,2,360,19,0.0,55.0,0.0,True,False,True,False,False,True,True,False
497.93122586872585,199903,202902,23104,30.0,1,1,95,25.0,77000,95.0,6.75,2,45,5,76100,2,360,2,0.0,56.0,0.0,True,False,True,False,False,True,False,True
497.93122586872585,199903,202902,24660,30.0,1,1,95,38.0,109000,95.0,7.25,3,28,5,27400,2,360,9,0.0,23.0,0.0,True,False,True,False,False,True,True,False
497.93122586872585,199903,202902,24860,0.0,1,1,70,16.0,100000,70.0,6.5,3,42,5,29600,0,360,14,0.0,30.0,0.0,True,False,True,False,False,True,False,True
497.93122586872585,199903,202902,24860,0.0,1,1,72,24.0,151000,72.0,6.75,3,42,4,29600,2,360,14,0.0,35.0,0.0,True,False,True,False,False,True,False,True
497.93122586872585,199903,202902,24860,30.0,1,1,95,23.0,118000,95.0,6.875,2,42,4,29600,2,360,12,0.0,125.0,0.0,True,False,True,False,False,True,True,False
497.93122586872585,199903,202902,24860,30.0,1,1,95,48.0,182000,95.0,6.75,3,42,4,29600,2,360,14,0.0,41.0,0.0,True,False,True,False,False,True,False,True
497.93122586872585,199903,202902,25060,0.0,1,1,76,30.0,98000,76.0,6.875,3,26,5,39500,0,360,12,0.0,211.0,0.0,True,False,True,False,False,True,True,False
497.93122586872585,199903,202902,25540,0.0,1,1,80,31.0,89000,80.0,6.25,3,6,5,6100,2,360,6,0.0,76.0,0.0,True,False,True,False,False,True,True,False
497.93122586872585,199903,202902,26900,0.0,1,1,80,30.0,172000,80.0,6.5,3,16,4,46000,2,360,5,0.0,54.0,0.0,True,False,True,False,False,True,True,False
497.93122586872585,199903,202902,27060,25.0,1,1,90,15.0,82000,90.0,7.125,2,35,5,14800,2,360,14,0.0,49.0,0.0,True,False,True,False,False,True,True,False
497.93122586872585,199903,202902,27140,0.0,1,1,62,22.0,240000,62.0,6.5,2,26,5,39100,1,360,14,0.0,47.0,0.0,True,False,True,False,False,True,True,False
497.93122586872585,199903,202902,27260,30.0,1,1,95,20.0,102000,95.0,7.125,2,9,5,32200,2,360,1,0.0,44.0,0.0,True,False,True,False,False,True,False,True
497.93122586872585,199903,202902,28420,30.0,1,1,95,18.0,173000,95.0,6.625,2,49,5,99300,2,360,9,0.0,18.0,0.0,True,False,True,False,False,True,False,True
497.93122586872585,199903,202902,29404,0.0,1,1,44,17.0,200000,44.0,6.75,2,15,5,60000,2,360,0,0.0,66.0,0.0,True,False,True,False,False,True,True,False
497.93122586872585,199903,202902,30780,30.0,1,1,95,31.0,77000,95.0,6.625,3,2,5,72200,2,360,12,2.0,212.0,1.0,True,False,True,False,False,True,True,False
497.93122586872585,199903,202902,31084,0.0,1,0,32,56.0,51000,32.0,7.5,2,4,0,91300,1,360,10,0.0,19.0,0.0,True,False,True,False,False,True,True,False
497.93122586872585,199903,202902,31084,0.0,1,1,64,19.0,169000,64.0,7.125,2,4,5,91300,1,360,10,0.0,44.0,0.0,True,False,True,False,False,True,False,True
497.93122586872585,199903,202902,31084,0.0,1,1,78,38.0,101000,78.0,7.125,2,4,5,91700,1,360,10,23.0,43.0,1.0,True,False,True,False,False,True,False,True
497.93122586872585,199903,202902,31084,0.0,1,1,80,32.0,152000,80.0,6.625,3,4,5,91300,0,360,18,1.0,211.0,1.0,True,False,True,False,False,True,True,False
497.93122586872585,199903,202902,31084,30.0,1,1,91,28.0,50000,91.0,7.5,3,4,5,91700,2,360,0,20.0,60.0,1.0,True,False,True,False,False,True,True,False
497.93122586872585,199903,202902,31084,30.0,1,1,95,12.0,141000,95.0,6.75,3,4,5,90700,2,360,17,0.0,54.0,0.0,True,False,True,False,False,True,False,True
497.93122586872585,199903,202902,31340,0.0,1,1,73,39.0,47000,73.0,6.5,2,47,5,24500,2,360,10,0.0,83.0,0.0,True,False,True,False,False,True,True,False
497.93122586872585,199903,202902,33124,0.0,1,1,53,24.0,90000,53.0,6.75,3,9,5,33100,2,360,0,10.0,95.0,1.0,True,False,True,False,False,True,True,False
497.93122586872585,199903,202902,33124,0.0,1,2,70,6.0,126000,70.0,8.125,2,9,0,33100,2,360,2,0.0,29.0,0.0,True,False,True,False,False,True,True,False
497.93122586872585,199903,202902,33124,30.0,1,1,95,24.0,128000,95.0,7.75,3,9,4,33100,2,360,1,3.0,45.0,1.0,True,False,True,False,False,True,True,False
497.93122586872585,199903,202902,33124,30.0,1,1,95,31.0,133000,95.0,7.625,3,9,5,33100,2,360,0,10.0,13.0,1.0,True,False,True,False,False,True,True,False
497.93122586872585,199903,202902,33124,30.0,1,1,95,31.0,135000,95.0,6.875,3,9,5,33100,2,360,14,3.0,29.0,1.0,True,False,True,False,False,True,True,False
497.93122586872585,199903,202902,33340,0.0,1,1,69,37.0,111000,69.0,7.15,2,50,5,53000,1,360,14,0.0,44.0,0.0,True,False,True,False,False,True,True,False
497.93122586872585,199903,202902,33340,0.0,1,1,75,14.0,115000,75.0,6.875,3,50,5,53100,2,360,14,0.0,6.0,0.0,True,False,True,False,False,True,True,False
497.93122586872585,199903,202902,33460,25.0,1,1,90,36.0,115000,90.0,6.75,3,24,5,55300,2,360,17,0.0,48.0,0.0,True,False,True,False,False,True,True,False
497.93122586872585,199903,202902,33460,25.0,1,1,90,43.0,56000,90.0,7.25,3,24,5,55400,2,360,19,0.0,50.0,0.0,True,False,True,False,False,True,False,True
497.93122586872585,199903,202902,34820,25.0,1,2,90,22.0,144000,90.0,6.875,3,42,5,29500,2,360,0,0.0,62.0,0.0,True,False,True,False,False,True,False,True
497.93122586872585,199903,202902,35004,0.0,1,1,80,31.0,146000,80.0,7.375,3,35,5,11900,2,360,14,0.0,48.0,0.0,True,False,True,False,False,True,False,True
497.93122586872585,199903,202902,35004,25.0,1,1,90,42.0,212000,90.0,7.25,3,35,5,11900,2,360,17,34.0,60.0,1.0,True,False,True,False,False,True,False,True
497.93122586872585,199903,202902,35084,0.0,1,1,72,34.0,176000,72.0,6.875,2,32,5,7000,0,360,14,0.0,14.0,0.0,True,False,True,False,False,True,False,True
497.93122586872585,199903,202902,35084,0.0,1,1,76,31.0,200000,76.0,6.75,2,32,5,7000,2,360,14,0.0,44.0,0.0,True,False,True,False,False,True,False,True
497.93122586872585,199903,202902,35084,0.0,1,1,79,31.0,214000,79.0,6.875,2,32,5,7900,1,360,14,0.0,14.0,0.0,True,False,True,False,False,True,False,True
497.93122586872585,199903,202902,35380,0.0,1,1,80,33.0,190000,80.0,6.5,3,19,5,70000,1,360,17,2.0,54.0,1.0,True,False,True,False,False,True,True,False
497.93122586872585,199903,202902,35644,0.0,1,1,60,35.0,111000,60.0,6.25,3,32,5,7400,2,360,2,5.0,67.0,1.0,True,False,True,False,False,True,False,True
